的	白
蹶	足欠
蹋	足习
篡	厶⺮
俚	土田
恣	冫心
羧	羊夂
禺	日厶
竣	立夂
甑	丷瓦
悸	忄子
暝	日八
睨	目臼
倌	亻㠯
馗	九
孺	空子
琮	王示
芫	兀艹
秸	禾士
皎	白乂
煅	火殳
慵	忄用
耨	寸辰
蜇	斤虫
蘅	行艹
苕	刀艹
橇	木毛
翳	匚习
哐	匚口
崛	山凵
篁	白⺮
庵	广申
炷	丶火
隧	阝豕
蜈	大虫
澧	氵曲
姒	女人
惰	月忄
洮	氵氵
蚤	又虫
婊	女衤
斡	十十
栩	习木
哧	口火
傣	亻水
倏	亻犬
苹	丷十
蕨	艹厂
茴	圍艹
藐	艹儿
酵	酉者
蛔	虫圍
崮	山圍
膦	月㐄
匈	勹凵
洹	二氵
璁	王心
蒯	刂艹
唾	口二
噔	口䒑
惚	忄勹
瑙	王乂
蜥	虫斤
蛀	王虫
螟	虫八
唏	大巾
畹	田卩
黍	水禾
庥	广亻
貉	豸夂
妊	士女
蔸	儿艹
艿	丿㇆
箴	⺮戊
淙	示氵
嫦	女巾
薏	心日
郗	乂阝
虢	爪虎
慷	忄氵
寥	宀彡
蔑	艹四
砥	石氏
迄	之乙
儆	攵口
咫	尸八
鍪	攵金
婺	㇕又
搪	广扌
噫	心口
瞰	目攵
僮	立亻
佗	宀亻
塾	亠土
旎	方匕
壅	乡亠
懦	忄而
酆	丰阝
箬	艹⺮
爰	爪又
炔	火㇕
妲	日女
蓼	艹习
螭	厶虫
峒	山冂
觥	𠂊兀
熘	火田
衿	㇕衤
盂	一皿
髦	長毛
萸	艹臼
踞	足尸
卮	斤卩
湫	禾氵
娓	女毛
恚	土心
莜	丨攵
魑	鬼厶
榫	隹木
椽	木彑
蟠	虫釆
蹊	足爪
晞	日巾
肴	乂月
獠	犭小
痿	疒女
焓	人火
湃	氵丰
湟	氵白
妗	㇕女
啻	亠丷
旖	方口
饔	亠食
劭	刀力
姘	女䒑
畿	空幺
坭	匕土
霈	雨巾
呔	丶大
稔	心禾
塍	土月
庹	广廿
疚	疒丶
窿	穴生
霰	雨攵
噘	口厂
啾	火禾
俅	水丶
腱	月二
瘁	疒亠
漓	亠氵
迂	寸之
菰	艹瓜
碇	石止
嗬	丁口
凇	冫木
洌	夕刂
袒	衤日
鄄	西阝
唳	口户
篙	⺮亠
氛	气
蚴	虫幺
踉	足艮
腈	月丰
腊	月廿
膺	广月
焐	火工
衲	衤人
蛩	工虫
琶	王巴
菟	艹𠂊
稷	禾夂
笈	⺮人
螅	虫自
嚯	口隹
篪	⺮虎
挹	扌巴
逑	一之
鞅	革冂
蚧	虫川
笏	⺮彡
鎏	氵金
滁	氵阝
媸	女虫
苫	艹卜
踵	足二
罹	四隹
肼	川月
旃	方亠
懊	忄大
涫	氵㠯
遽	之虎
陛	阝土
觳	殳士
萄	艹凵
薜	辛艹
崆	山工
脘	兀月
嵊	山匕
况	冫儿
褰	宀衣
薨	艹匕
椴	木殳
腩	半月
瘴	疒十
侮	亻母
胱	月兀
痧	疒丿
髡	長兀
擢	扌习
嘁	上小
罅	𠂉寸
佼	亻亠
亳	亠七
悴	忄亠
梆	木丰
乩	卜乚
呶	又女
淄	氵巛
逅	斤之
逄	㐄之
菽	艹上
蓖	艹鬼
菔	卩又
蟆	虫大
嘭	彡口
尜	小小
嵋	山目
鼾	自干
猷	丷犬
葩	艹巴
勖	日力
笪	日⺮
佶	士亻
倨	亻尸
溉	儿氵
赭	土者
桅	木𠂊
訾	止言
杈	丶木
砧	石卜
蛉	虫之
蟀	亠虫
惕	彡忄
惘	忄亡
惦	忄广
窠	穴木
裨	衤十
迨	厶之
蜓	虫士
蚩	屮
榷	木隹
碚	石立
繇	爪糸
裾	衤尸
窈	穴力
豉	一又
劾	亠力
憧	忄立
嫠	二女
琇	王禾
荏	艹士
杪	小丿
榔	艮阝
旆	方巾
燧	火豕
遑	之白
橐	一中
圪	土乙
槭	木戊
棰	二艹
嗥	大十
岣	山勹
魈	鬼月
砭	石之
蟑	虫十
蚓	虫丨
嗵	用口
嵴	山氵
憩	空舌
昝	夂日
琚	王尸
鞣	革又
醴	酉䒑
嵛	刂山
牯	牛十
簟	⺮十
笮	⺮卜
麝	空鹿
沌	氵屮
勰	力心
婀	阝女
瑁	王目
喋	廿口
瓴	人瓦
毖	匕丿
愫	忄糸
悚	口忄
搴	宀手
醪	酉彡
趿	足㇆
嗍	屮月
骷	骨
爨	臼火
羸	亡口
攫	扌目
圜	圍衤
秣	一禾
僭	亻七
慊	忄䒑
譬	尸言
摒	尸扌
嘧	丿山
瞑	目八
氪	气儿
笳	力⺮
魃	鬼㇕
溱	氵春
璩	王豕
醮	酉隹
蠊	虫广
圉	圍半
嚓	口示
豺	豸丿
獐	犭立
旄	方毛
溏	尹口
柜	木コ
俎	人且
肫	月屮
糍	米幺
槊	䒑木
彗	丰彐
泱	冂氵
泫	幺氵
帚	空彐
埕	土王
瑗	王爪
茁	艹屮
檄	攵木
竽	一⺮
稗	十禾
咨	冫欠
淀	宀氵
謇	宀言
逖	之火
靼	革一
唵	口申
吩	口刀
哞	厶牛
迤	之也
佞	二亻
郯	火阝
邋	之巛
垌	土冂
璀	王隹
蹩	巾足
鼐	㇆片
戛	一自
芨	㇆艹
蠓	虫豕
蚪	虫冫
瞋	八目
倥	亻穴
褥	衤寸
嬖	女尸
孀	女雨
珣	王勹
璘	王㐄
菠	艹皮
卣	卜コ
跚	足一
嶷	山止
牖	片甫
徨	行王
溧	西木
阱	阝二
皴	厶皮
踔	足卜
黜	四凵
淝	巴氵
磋	石工
蠖	隹又
粼	米巛
蓑	艹衣
酢	酉卜
醌	匕酉
蜒	虫止
忤	忄𠂉
蜡	虫日
癜	疒尸
滓	氵辛
娌	女田
鏊	丰金
葶	丁艹
酞	丶酉
榱	木衣
煳	火月
嫚	又四
蜱	虫鬼
恫	冂忄
憔	忄灬
剡	火刂
彀	士殳
雹	雨巳
橄	㇕艹
蟛	彡虫
咴	大火
俶	亻上
遒	之酉
衩	衤丶
揆	扌癶
苤	艹不
碉	石口
奘	空爿
疙	疒乙
湔	月刂
潺	尸氵
袷	人衤
鄞	廿阝
劬	勹力
恿	又心
坍	土周
垸	土兀
鬟	空長
耪	丰方
曷	日乚
侈	亻夕
旒	方川
惆	忄周
鞫	革言
槲	𠂊木
猗	犭大
沔	乚㇆
窨	穴日
厾	空乙
耄	者毛
蛄	十虫
篦	⺮匕
獬	犭牛
胝	月氏
濉	隹目
邃	之穴
屐	尸又
殄	人彡
瞽	士目
楝	四木
曛	日千
氤	空气
臆	月立
埸	土彡
拊	亻扌
荑	艹弓
榧	木非
垡	戈亻
徇	行日
腆	月冂
胗	彡月
瘢	疒殳
遨	攵之
擤	扌自
匏	大巳
蝴	虫月
虼	虫乙
粿	米田
隳	阝忄
菹	艹且
哚	几木
峰	山
腴	月人
惴	忄山
窕	穴氵
陟	阝止
鼙	士十
蕈	艹西
楫	木耳
咄	口凵
骼	骨口
魍	鬼亡
麾	广毛
窣	穴十
窸	穴心
褡	衤艹
嬗	亠女
瑚	王月
蜘	虫口
筮	人⺮
箜	⺮工
瓮	八瓦
粳	米乂
遄	之而
裰	衤又
鞴	革用
蘩	𠂉艹
碲	石亠
跏	足力
崚	夂山
仵	𠂉亻
歙	人欠
蠲	䒑虫
蟊	虫又
媲	匕女
盍	皿土
菪	宀石
棱	夂木
笤	⺮刀
胭	月圍
悻	忄半
埝	心土
栲	丂木
砹	石乂
跣	足儿
邾	𠂉阝
瓿	立瓦
潢	廿氵
禳	示甘
鬻	弓丁
彘	彑匕
殛	又一
琵	王匕
拮	士扌
砟	石𠂉
笸	⺮匚
悌	忄亻
淠	一川
餮	一食
埽	土巾
圾	土人
薅	辰寸
樗	木丂
柞	𠂉卜
跆	足厶
嗐	丰口
嵯	山羊
瘛	疒丰
滂	方氵
嫘	田女
橛	木欠
骺	骨斤
倜	亻周
皈	白又
滹	虎氵
酃	雨阝
郾	匚阝
髀	骨十
穰	禾甘
獗	犭欠
羰	羊火
抉	大㇕
莩	爪艹
柩	丶𠂊
螳	虫小
咆	口巳
翕	习人
郄	乂大
朐	勹月
夤	夕八
窳	穴瓜
劼	士力
踅	扌足
蘧	豕艹
杼	木丨
蚋	虫冂
跗	足亻
侔	牛亻
郇	勹阝
裎	衤王
陔	阝亠
埵	土千
瑭	王广
醺	酉灬
喟	田月
咐	寸口
嶙	山㐄
甥	生
篾	⺮丶
皤	白田
敫	白攵
裟	氵衣
媾	甘女
莨	艮艹
霹	雨辛
邳	不阝
蟪	虫車
蚣	虫厶
跎	足匕
嶝	山䒑
貘	豸大
恂	勹忄
翮	一习
玠	王人
蕤	艹生
蚱	虫𠂉
趵	足丶
罟	十四
矍	目又
峋	山日
磴	石䒑
畛	田彡
犍	牛二
臃	月隹
廛	广田
愎	夂忄
茚	爪卩
曩	日甘
暾	日攵
罱	四半
湎	㇕氵
鐾	辛金
炱	厶火
藿	艹雨
茭	艹乂
霎	雨女
蜿	虫宀
昃	日厂
簸	⺮皮
艋	舟皿
惋	忄卩
蓁	艹春
泅	圍人
酹	酉寸
雩	雨丂
兕	圍儿
帙	巾人
簌	⺮欠
鄱	釆阝
晷	日夂
筇	⺮阝
墀	土牛
挈	丰手
衄	丿丨
痤	疒土
惇	亠忄
溲	臼氵
掾	扌豕
崤	月山
狷	口犭
逶	之女
瓠	大瓜
圊	圍丰
罨	四申
簋	⺮艮
艄	舟月
煺	火艮
璠	王田
蠕	虫而
蹼	足羊
暌	日癶
眇	目丿
襦	衤而
遢	之习
逡	之夂
鬲	一丁
螫	土虫
酩	酉夕
砘	石屮
戢	耳口
濞	自氵
蔟	艹方
蕖	コ木
硭	石亡
吲	口丨
璺	臼丶
刎	勹彡
燔	火釆
玦	大王
硇	乂石
跬	土足
泐	阝氵
衽	衤士
擘	尸手
玢	王刀
隈	阝衤
薤	一非
剽	西刂
僰	人冂
砝	石厶
囹	圍之
罾	四丷
仡	亻乙
儋	亻言
胙	月卜
垓	乡人
枸	勹木
秫	禾丶
愆	行氵
瘩	疒艹
疥	川疒
迢	之刀
隰	阝灬
畚	厶田
甏	士瓦
醅	酉立
梃	木廴
珙	王廿
葚	艹其
蚍	虫匕
筌	王⺮
捯	至扌
摭	灬扌
醢	酉大
烀	寸火
坼	丶土
糅	米木
莠	㇆丿
烜	日火
螂	虫阝
暹	之隹
胳	月口
瘠	疒月
翥	者习
聃	耳土
酡	酉匕
琯	王㠯
艨	舟豕
薷	艹而
柁	匕木
黠	四口
迕	之𠂉
鄯	羊阝
滏	氵丷
碣	石乚
矬	矢土
篼	⺮儿
舴	舟卜
狒	犭川
囔	甘衤
毽	毛二
湉	氵舌
纛	丰糸
豳	空豕
幄	巾至
徼	行白
猖	日犭
癍	王疒
孱	尸子
瞠	目小
侏	亻𠂉
焜	火匕
琤	王尹
茯	犬亻
蓿	艹白
戡	其戈
蜻	月虫
圄	圍工
痊	疒王
渫	乚木
隍	阝王
鬣	長巛
耩	丰土
醍	酉止
桷	用木
尥	尤丶
噱	口虎
唿	勹口
黝	四力
柢	氏木
蹉	足工
愔	立忄
漯	糸氵
萋	尹女
豨	豕巾
崦	山申
坌	刀土
邂	牛之
蓍	者艹
磔	石夕
岌	山人
亶	亠一
癯	疒目
褟	衤习
栳	者木
桴	木爪
赧	又土
鋆	土勹
葺	艹耳
莛	艹廴
幛	巾十
汩	氵圍
胬	人女
玷	王卜
柝	木斤
嚅	口雨
凭	亻几
佝	亻勹
堍	土𠂊
髑	骨虫
仫	厶丿
韵	立冫
踊	足用
髭	長匕
狍	犭巳
匐	勹田
陲	阝千
牁	爿口
坻	土丶
嚏	止口
佻	亻氵
陬	阝耳
嗞	幺口
盥	臼皿
汔	乙氵
荽	艹爪
蛸	小虫
盱	目寸
溷	豕氵
袈	力衣
澥	牛氵
扃	户口
耜	丰㠯
徭	行凵
胴	冂月
觚	𠂊瓜
氅	小毛
黥	四小
嵫	山幺
邶	丬阝
堞	土廿
蹂	木足
袱	衤犬
遴	之㐄
蓐	艹辰
郤	八阝
嗾	口方
舄	臼灬
疸	疒日
悝	忄田
殂	且一
墼	車凵
奭	大白
蜩	虫周
黼	空业
嵖	一山
忸	忄丨
浥	口巴
妁	女丶
捩	扌犬
豌	一卩
蹚	足土
竑	立厶
襞	尸衣
帑	巾女
髹	長木
揶	耳阝
瞌	目皿
鼯	臼口
猱	犭木
縻	广糸
怦	十忄
洫	丿皿
榖	冖士
甍	艹瓦
蒗	艹艮
蝮	虫夂
痍	疒弓
堙	土西
抨	十丷
蝌	虫禾
剞	大刂
眄	目㇆
淆	乂氵
沆	几氵
鬈	長卩
酗	酉凵
篝	⺮土
伉	几亻
徜	行小
貊	豸白
蕻	艹長
睽	目大
箅	⺮川
臌	又月
瘌	疒木
姮	女二
塄	土方
吁	口一
湲	爪氵
祓	示㇕
刳	刂大
犒	牛口
秕	匕禾
稞	禾田
悒	忄巴
忑	一心
瓘	隹王
黟	四夕
娩	女儿
搠	䒑扌
枵	丂口
螈	虫厂
睥	目十
靺	革木
迮	之卜
挲	氵手
祆	示大
茌	士艹
螃	虫方
鞨	革乚
麈	鹿王
禊	示丰
趔	走刂
掊	立扌
蟋	虫心
毳	毛毛
埴	土且
搐	田扌
黻	业㇕
廨	广牛
瘳	疒习
孥	女子
埤	土鬼
籀	⺮田
媵	半女
揄	刂扌
萏	臼艹
躇	足者
儡	田亻
圬	丂土
搛	八刂
楯	斤木
痦	口疒
樨	木尸
巉	山丶
貅	豸木
怍	卜忄
悛	夂八
蒴	䒑艹
瞢	艹目
啁	口周
艟	舟土
怩	忄匕
澉	耳攵
垧	土自
砒	匕石
澌	其氵
綮	户糸
霪	士雨
怫	忄弓
褙	衤月
耋	者至
珧	王氵
蕺	戈艹
慝	匚心
牾	牛工
侉	亻丂
燠	火自
殪	䒑一
葸	田心
蓊	八艹
袤	衣亻
礴	寸石
屣	尸止
酤	酉十
躅	足虫
肄	匕二
癔	疒立
睚	目厂
瘙	疒虫
忪	八厶
棼	木刀
蜴	虫彡
癃	疒生
蝙	虫艹
戥	日戈
襻	衤手
褫	衤虎
搦	弓扌
耱	丰石
攮	扌衤
羑	羊丶
怏	忄冂
捭	扌鬼
蜮	戈虫
蜢	虫皿
棻	刀木
秭	禾亻
瘼	大疒
褓	衤亻
囫	圍彡
罽	四厂
黧	禾灬
孳	䒑子
襁	衤虫
腠	月春
瘰	疒糸
摽	扌西
眈	目儿
膂	方月
篥	⺮木
螽	夂虫
爝	火寸
劓	自刂
膻	一月
胼	月䒑
羼	尸羊
齁	自口
褊	衤户
蒹	艹䒑
貔	豸匕
痼	疒圍
礅	石攵
郿	阝尸
捃	尹扌
梏	木牛
郛	爪阝
蝣	子虫
狨	犭戈
瀣	非一
磙	石衣
掮	扌户
睃	目夂
郫	鬼阝
獴	犭豕
瘵	疒示
藠	白艹
瘐	疒臼
篌	矢⺮
狁	犭儿
躞	足言
猹	犭一
啕	口勹
稃	禾子
縠	殳糸
蜊	虫刂
嵎	山厶
溽	氵辰
蜉	虫子
噍	灬口
猁	犭刂
茀	弓艹
脬	月爪
祾	示夂
鬏	長火
忭	亠卜
杻	丨木
唼	立女
溘	厶皿
桫	丿木
黢	四夂
蹁	足户
檗	尸木
瞀	又目
鞡	革立
莅	立艹
瘊	疒矢
潟	氵灬
抃	卜扌
猢	十犭
踺	足廴
眙	口目
嘚	口行
戽	户十
豇	一工
蹀	足廿
牮	弋亻
燹	豕
攉	雨扌
踽	足丿
撙	丷扌
蒺	艹矢
够	勹
跐	足止
歃	千欠
筲	⺮小
璈	王攵
醐	酉月
蜍	禾虫
稂	禾艮
殍	一子
箢	⺮卩
鼢	臼刀
蝥	攵虫
蒡	方艹
毪	毛牛
磲	石氵
踟	足矢
劁	隹刂
靸	革人
蟥	虫廿
糨	米虫
眵	目夕
揠	扌匚
狳	犭禾
猞	犭舌
髫	長彡
蝻	虫半
熥	火用
荸	冖子
螵	虫示
趑	走欠
鞬	革二
漶	中心
躐	足巛
礓	石田
筢	⺮巴
犄	口牛
椪	木业
耖	丰丿
蝓	刂虫
犋	牛八
搋	斤虎
觫	𠂊口
睾	丿四
毹	人毛
蜣	儿虫
熜	火鬼
氍	目毛
聱	丰耳
糌	米夂
弃	亠艹
极	木人
螬	日虫
螠	虫䒑
魆	鬼乚
葱	勹艹
犏	牛艹
睄	目月
丏	丁㇆
靿	革力
碡	石母
揳	扌丰
滫	夂月
霨	雨寸
螋	虫臼
唣	七口
猫	犭田
琫	王工
册	周一
拤	扌上
齉	自衤
氆	毛日
鞧	革酉
膙	弓月
踒	足女
垒	厶土
窑	穴𠂉
柠	丁木
猬	月犭
猎	犭日
疴	疒丁
凄	冫一
疱	疒巳
椁	木子
眦	目匕
痴	疒口
叙	人又
离	亠厶
虱	乙
滚	氵厶
昵	尸日
屉	尸乚
与	一一
国	圍
吨	口屮
却	土
担	扌一
撑	扌手
携	隹扌
抬	扌厶
栀	卩扌
构	木勹
蝎	虫乚
咏	口水
踪	足示
网	冂乂
岭	山之
复	空𠂉
偬	勹亻
众	人人
脚	月卩
胆	月一
凉	冫小
决	空冫
恒	日忄
潜	氵日
汹	氵乂
袜	衤一
宫	口宀
幂	冖巾
栅	木周
咤	口七
鼹	臼女
隽	隹
腭	丂月
删	周刂
胶	月乂
泞	丁氵
姗	女一
芜	艹尤
碱	石戊
厩	厂儿
毁	臼
体	亻一
肮	月几
凑	冫大
怜	忄之
惊	忄小
羡	羊欠
洁	氵士
篱	⺮厶
橱	木厂
减	冫口
厨	厂寸
蹰	足厂
凛	冫示
欸	厶欠
厦	厂夂
厮	厂斤
珐	王土
厢	厂目
禀	亠示
叠	又且
俵	丰衤
献	十犬
园	圍兀
吓	口卜
触	𠂊虫
媭	彡
拃	扌𠂉
蹾	足攵
丽	一冂
沟	厶氵
箓	⺮水
浕	丶冫
塆	土弓
蹽	足小
昙	厶日
积	禾八
块	土大
䏝	二月
㤘	忄彐
宪	宀儿
说	言
发	乚
两	空一
专	空二
动	二
联	耳
帮	空丰
热	扌灬
拨	扌乚
带	艹
横	木八
顾	厂頁
暂	車日
点	卜
别	空口
贩	貝又
赔	貝口
税	禾儿
传	亻丶
会	人
领	人頁
镇	金八
钻	金口
钢	金乂
铁	空金
铬	金夂
腻	月貝
脱	月儿
讲	言川
调	言周
诉	言丶
该	空言
装	空丬
闭	空門
将	丬
应	广
废	广乚
炼	火八
总	丷
单	丷一
粮	米艮
数	米
滤	氵虎
测	氵刂
学	⺍
泼	丶氵
宽	宀見
实	空宀
层	尸二
验	空馬
买	㇕大
骗	馬艹
费	空弓
弹	弓一
随	阝
续	糸大
纯	糸屮
统	糸儿
断	米斤
编	糸艹
经	糸
蚕	一大
鹉	一鳥
画	一凵
残	一戈
殒	一貝
歼	一千
殓	夕⺍
殁	一殳
殡	一八
虿	力一
迈	之力
坛	土厶
墙	土口
盐	土皿
颉	士頁
埘	寸日
趱	走貝
进	空之
辇	空夫
顽	一兀
远	之兀
趋	走彐
颊	二頁
郏	二阝
壶	士业
壳	士几
韫	工皿
场	空土
韬	工臼
运	之厶
玮	王㇆
焘	丰寸
耢	丰力
琏	王車
职	空耳
璎	王女
瑶	王凵
靓	丰見
静	丰
麸	丰夫
艳	丰巴
聪	耳心
耧	丰女
鬓	長八
聂	耳又
抚	扌尤
挟	火扌
摄	扌耳
捞	艹扌
挞	之扌
拣	八扌
抠	扌乂
摅	虎扌
损	扌貝
挡	扌彐
摆	扌四
攒	扌牛
捡	扌⺍
抡	匕扌
抢	扌卩
摇	扌凵
垫	扌丸
蛰	虫扌
挚	手扌
抛	扌九
撸	扌魚
换	扌大
搀	冫扌
挣	扌尹
挤	扌川
搁	扌門
掷	阝扌
搂	扌米
㧟	匚扌
搅	扌見
拧	扌丁
挥	扌車
撺	扌中
摈	扌宀
摊	扌隹
扬	扌彡
报	扌又
掺	彡扌
拟	人扌
荚	火艹
苇	艹㇆
协	十力
鞯	革子
载	十車
莲	艹車
颧	艹頁
莳	日寸
蓝	艹皿
黄	廿
蓦	艹馬
贳	廿貝
颠	十頁
荞	丿艹
获	艹犬
蔼	乚艹
蔺	艹門
蒋	艹丬
丧	土衤
啬	十䒑
蕲	艹丷
荡	艹彡
苎	一宀
茔	冖土
莹	丶艹
荣	木艹
荤	冖車
萤	冖艹
营	艹冖
荥	冖水
蓥	冖金
荧	艹火
劳	艹力
萦	糸冖
茎	艹工
萧	艹尹
卖	十大
荪	艹小
苏	艹八
荫	艹阝
萨	艹丿
蕴	艹糸
药	艹丶
飘	西
栉	卩木
梦	木夕
雳	雨力
栋	木小
枢	匚木
梿	木車
档	木彐
枣	木冫
桥	木川
酰	酉儿
霉	雨母
检	木⺍
枪	木卩
橹	木魚
赖	木貝
霁	雨川
酿	酉艮
桩	木广
榈	木門
楼	木女
槟	八木
树	木寸
棂	彐木
椭	阝木
杨	木彡
厉	厂力
压	厂丶
硖	石二
砖	石丶
奁	大匚
碍	石寸
厕	厂刂
赝	厂貝
飙	犬
态	大心
牵	大牛
础	石凵
辆	車人
辕	車衤
贰	弋
转	空車
辄	車乚
轰	車又
翘	戈习
轳	車卜
辑	車耳
匮	匚貝
辊	匕車
辋	車亡
轿	車川
输	車刂
殴	匚殳
轮	車匕
堑	車土
錾	車金
较	車乂
辙	車攵
辚	車㐄
辖	車口
轻	車
辗	車尸
轫	車丶
顿	一頁
辎	車巛
蛱	虫火
龉	齒口
螨	人虫
蛲	虫兀
龇	齒匕
战	空卜
蝇	虫申
卤	卜乂
蛳	虫巾
频	止頁
龄	齒
蜕	虫儿
蝉	虫一
颅	卜頁
龌	空齒
吴	口大
贵	中
围	圍㇆
踌	足丰
啧	口丰
唛	丰夂
蹑	足耳
𠳐	阝丰
团	空圍
蹒	足艹
喷	口貝
躏	足隹
呓	乙口
跷	足兀
呕	口匚
嘘	口业
颚	丂頁
圆	圍貝
骂	口馬
啰	口四
郧	貝阝
跃	足大
躜	足牛
响	口自
哗	匕十
囵	圍匕
呛	卩口
嗳	爪口
鹃	口鳥
噜	口魚
唤	口𠂊
图	圍冫
跻	足川
踯	足阝
喽	口女
咛	宀丁
蹿	足中
嘱	口厶
啸	口八
哟	口丶
题	日頁
师	刂
韪	㇆日
畴	田寸
颗	田頁
辉	小車
晓	日兀
临	刂日
监	刂皿
览	刂見
鉴	刂金
暧	日爪
凿	业
尝	小厶
晕	日車
赏	小貝
贤	刂貝
肾	刂月
竖	刂立
紧	空刂
畅	申
赋	貝止
赇	貝丶
屿	山一
峡	山火
罢	四厶
帻	巾丰
财	貝
瞒	目人
巅	山頁
嵘	山木
赎	貝十
赙	貝寸
颛	山而
贿	貝月
鸯	冂鳥
贼	貝大
岖	山匚
崭	山斤
贴	空貝
帧	巾貝
帜	巾八
贶	貝儿
刚	空冂
赐	貝彡
幞	巾羊
岿	山彐
婴	貝女
峤	山川
赂	貝夂
睁	目尹
购	貝厶
罚	四刂
赃	貝土
赠	貝日
赕	貝火
赚	貝八
髅	空骨
贮	貝一
髋	骨見
髌	骨八
峄	工山
瞩	目厶
剀	山刂
觊	山見
凯	空山
悬	且
丢	空丿
筹	寸⺮
犊	牛大
乔	丿川
箧	⺮火
毡	空毛
鹄	牛鳥
篮	⺮皿
签	⺮⺍
颓	禾頁
称	空禾
赞	牛貝
选	之儿
稳	禾心
鹅	空手
简	⺮日
篓	⺮女
氢	气工
箫	⺮八
笾	之⺮
俩	人亻
粤	鬼丂
侠	亻火
伟	亻㇆
债	丰亻
偾	艹貝
牍	片大
侥	亻兀
贷	亻弋
舆	臼八
躯	身乂
侦	卜亻
侧	亻貝
皑	白己
侨	丿亻
赁	士貝
伤	亻力
俭	亻⺍
伦	亻匕
华	亻十
倾	亻頁
货	貝亻
储	亻者
侪	亻文
奥	空自
鹪	隹鳥
偻	亻米
伫	亻宀
傧	丘八
侬	亻冖
傩	隹亻
龛	人龍
剑	人刂
敛	人攵
刽	人二
馕	食衤
馍	食大
馓	食攵
饽	食子
弑	乂工
刹	空乂
饶	食兀
彻	行刀
饨	食屮
馈	食貝
馄	食匕
饪	食士
饫	食丿
饿	食戈
饰	食巾
饬	食力
饷	食口
馊	又食
丛	一人
耸	人耳
怂	心人
爷	八
饭	食
馁	食女
馋	食冫
馅	食臼
馏	食田
饱	食巳
颔	頁人
贪	人貝
伞	人丷
饼	食艹
馐	食丨
邻	人阝
馆	空食
饲	食㇆
颁	八刀
戗	人戈
创	人卩
贫	八貝
饧	食彡
颂	八頁
饴	食厶
铐	金丂
铼	金水
铑	金者
铗	火金
铸	金寸
钰	金王
镊	金耳
钴	十金
错	金
质	空斤
镬	艹金
钵	金一
镭	金雨
锛	金艹
钛	金大
镣	金小
钹	金㇕
铙	金兀
链	金車
钺	金戈
舻	舟尸
锃	王金
铟	圍金
锢	金圍
铝	口金
钽	一金
锂	田金
锞	木金
锁	金貝
钞	金丿
销	金月
锡	金彡
镗	小金
铛	金彐
铜	金冂
钠	金人
锄	金力
锇	戈金
锆	牛金
锸	金臼
铣	金牛
锹	金火
锈	金禾
锻	金殳
镍	金自
锦	金巾
镌	金隹
铨	人金
铩	金木
锉	土金
钤	㇕金
铃	金之
舱	舟卩
锨	金欠
钣	金斤
铅	金几
锋	金丰
铭	金夕
钓	金丶
钧	金冫
铮	金尹
钩	金厶
镜	金儿
铈	巾金
铲	金立
镑	金方
锒	金艮
镀	又金
镧	金門
锏	金日
锵	金丬
镰	金广
镁	金羊
锐	金丷
锑	金亻
镂	金女
锭	金止
爱	爪
镩	金中
铋	丿金
镔	金宀
释	空釆
锯	金尸
铌	匕尸
钗	金又
锰	金皿
键	金二
锱	金巛
狭	犭火
胨	月七
胪	月尸
猡	犭夕
脸	月
飓	風
飕	空風
飑	風巳
鹏	月鳥
狰	犭尹
狱	犭犬
脐	月川
脑	月凵
脏	月土
腾	月馬
狞	犭丁
膑	八月
脓	月衤
胫	月㇕
胁	月八
猕	犭弓
鲠	魚一
鲡	魚丶
鲆	魚十
鲑	土魚
鲮	魚夂
鳍	魚日
鲼	魚貝
鲽	魚木
鸨	匕鳥
鳓	魚力
鳕	魚彐
鲔	魚月
鳜	魚欠
鲅	魚㇕
鲢	魚車
鲇	魚卜
鲈	魚尸
鲴	魚圍
鲤	魚土
鳗	魚又
鲲	魚匕
迩	小之
鳃	魚心
鲣	魚刂
鳎	魚习
鲷	魚周
奂	𠂊大
鳏	魚水
觯	𠂊一
颖	匕頁
鳅	魚火
鲧	魚糸
鳇	魚王
鲋	魚亻
鲵	魚儿
鳐	魚凵
毕	空匕
鲍	空魚
鲚	魚川
鳟	魚寸
鳞	魚
鳝	魚口
鲩	魚兀
鳊	魚艹
鸵	空鳥
鲟	寸魚
雏	𠂊隹
皱	𠂊皮
邹	𠂊阝
鲫	魚卩
鸳	夕鳥
鲐	魚厶
诃	言丁
评	言一
诖	土言
诗	言土
诘	言士
诬	人言
语	言口
讳	㇆言
诔	丰言
请	言月
诹	言耳
亵	衣丸
谋	言甘
谍	言廿
诺	言艹
诂	十言
谳	言犬
谎	川言
读	言大
谌	言其
谭	言西
谏	言四
诙	火言
试	言工
诓	言匚
诫	言戈
讴	乂言
谮	七言
诚	言㇆
讵	言コ
谑	言虎
误	大言
颤	亠頁
识	言八
赢	空亡
课	言木
谩	四又
谡	言夂
诮	月言
谓	言田
讷	言人
许	言十
诰	言牛
诛	言𠂉
颜	立頁
诱	言丿
诲	言母
剂	空文
谯	言灬
谕	言刂
诠	言王
谶	一言
诊	言彡
论	言匕
诟	言斤
谣	言凵
诳	言犭
颃	几亠
诡	言卩
谗	言冫
询	言日
诣	匕言
谄	言臼
谐	言白
诋	言氏
诌	言彐
谅	言小
谙	言立
谚	彡言
议	言乂
辩	辛
