的	白丶
颁	八頁
创	人刂
贫	八貝
颂	八頁
铐	金了
铸	金寸
错	金日
质	斤貝
链	金車
铝	金口
锅	金人
锁	金貝
钞	金丿
销	金月
锡	金彡
铛	金彐
铜	金口
钠	金人
锄	金力
锹	金火
锈	金丿
锻	金殳
锦	金巾
铃	金之
舱	舟巳
铅	金口
锋	金丰
铭	金口
钓	金丶
钧	金冫
钩	金厶
镜	金儿
铲	金丿
镑	金方
镀	金又
镰	金八
锐	金儿
爱	爪又
释	釆工
锯	金口
锰	金皿
键	金二
肤	月人
狭	犭火
脸	月⺍
鹏	月鳥
狰	犭彐
狱	犭丶
脐	月川
脑	月凵
脏	月土
腾	月馬
狞	犭丁
脓	月𧘇
胁	月八
鳍	魚日
鲤	魚二
龟	⺈乚
颖	匕頁
毕	匕十
鲍	魚巳
贸	氏貝
鳞	魚㐄
鸵	鳥匕
雏	⺈隹
皱	⺈皮
鲫	魚冂
评	言䒑
诗	言寸
诬	言人
语	言口
讳	言㇆
请	言月
谋	言木
谍	言木
诺	言口
谎	言川
读	言大
谭	言十
试	言工
诫	言艹
诚	言㇆
误	言大
颤	亠頁
识	言八
赢	亡凡
课	言木
蛮	亠虫
谓	言月
弯	亠弓
许	言十
颜	立頁
诱	言丿
诲	言母
剂	文刂
诊	言彡
论	言匕
谣	言山
诡	言巳
询	言日
谐	言白
谅	言小
谚	言彡
议	言乂
辩	辛辛
谤	言方
谈	言火
谜	言米
谦	言八
谴	言㠯
谊	言且
译	言工
诀	言大
诵	言用
词	言口
讯	言十
诞	言止
辫	辛辛
闺	門土
状	丬丶
冻	冫小
阀	門戈
鹰	疒鳥
瘪	疒匕
疮	疒巳
桨	丬木
奖	丬大
浆	丬水
资	冫貝
阎	門臼
癣	疒羊
净	冫彐
闹	門巾
阅	門儿
阐	門十
阔	門舌
瘫	疒隹
瘾	疒心
愤	忄貝
懒	忄貝
郑	䒑阝
烧	火尤
惭	忄斤
兑	丷儿
兽	丷口
惧	忄八
烁	火小
焕	火大
恼	忄凵
悯	忄文
悦	忄儿
递	之亻
惨	忄彡
惯	忄貝
兹	䒑幺
举	⺍工
兴	⺍八
誉	⺍言
洼	氵土
鸿	氵鳥
涛	氵寸
满	氵人
滞	氵巾
潇	氵八
沥	氵力
浇	氵尤
渐	氵斤
涡	氵人
湿	氵业
温	氵皿
溅	氵戈
渊	氵米
沦	氵匕
涤	氵木
涣	氵大
润	氵王
澜	氵四
涧	氵日
浑	氵車
觉	⺍見
滨	氵八
浓	氵𧘇
泽	氵工
滩	氵隹
涨	氵長
汤	氵彡
涩	氵止
烫	氵火
渗	氵彡
写	冖一
窍	穴了
窥	穴見
违	之㇆
祷	礻寸
宝	宀丶
赛	宀貝
窃	穴刀
遗	之貝
祸	礻人
袄	衤大
鹤	冖鳥
遥	之山
宾	宀八
额	宀頁
裤	衤車
禅	礻十
迟	之丶
逊	之小
颈	㇕頁
劲	㇕力
骤	馬豕
剧	尸刂
骑	馬口
驱	馬乂
驶	馬乂
剥	彐刂
骡	馬絲
骄	馬川
属	尸厶
肃	彐八
驳	馬乂
驹	馬口
骆	馬口
驻	馬王
昼	尸一
尽	尸冫
骇	馬人
屡	尸女
驼	馬匕
预	又頁
骏	馬夂
陕	阝火
陆	阝山
陈	阝小
贺	力貝
驾	力馬
坠	阝土
阶	阝川
弥	弓小
隐	阝心
结	絲口
纬	絲㇆
绩	絲貝
绑	絲阝
缚	絲寸
叁	厶三
缅	絲丨
参	厶彡
绕	絲尤
练	絲八
绰	絲十
娱	女大
缉	絲耳
绳	絲乚
织	絲八
绢	絲月
纱	絲丿
绸	絲口
纲	絲乂
纳	絲人
绣	絲丿
缎	絲殳
绵	絲巾
缴	絲攵
给	絲口
绘	絲厶
纵	絲人
纷	絲刀
缓	絲又
绷	絲月
络	絲口
绚	絲日
约	絲丶
终	絲冫
绝	絲巴
缠	石二
继	絲乚
综	絲示
绽	絲止
婶	女申
缩	絲白
缝	絲丰
纽	絲十
绿	絲水
绍	絲口
级	絲人
纫	絲丶
丝	絲一
缘	絲豕
韧	工丶
赘	丰貝
琐	王貝
琼	王小
撵	扌車
挠	扌尤
揽	扌見
势	扌力
捣	扌山
拦	扌二
择	扌工
荆	艹刂
鹊	廿鳥
莱	艹水
韩	十㇆
萝	艹夕
苍	艹巳
莺	艹鳥
酝	酉厶
榄	木見
槛	木皿
樱	木女
桦	木十
栏	木二
雾	雨力
励	厂力
砾	石小
尴	尤皿
辐	車田
欧	匚欠
鸥	匚鳥
虾	虫卜
蚁	虫乂
唠	口力
嚣	口口
呐	口人
勋	口力
呜	口二
坚	刂土
鳖	水魚
睐	目水
逻	之夕
岗	山乂
贬	貝之
赡	貝言
贻	貝口
鹦	貝鳥
矫	矢川
秽	禾夕
筛	⺮巾
箩	⺮夕
衅	丿半
筝	⺮彐
偿	亻厶
仪	亻乂
鸽	人鳥
惩	行心
径	行工
馒	食又
饺	食乂
钙	金乚
锚	金田
钝	金凵
锣	金夕
锤	金二
镶	金𧘇
镐	金口
钮	金十
狮	犭巾
肠	月彡
鳄	魚了
毙	匕匕
鲸	魚小
惫	夂心
证	言止
谨	言丰
峦	亠山
恋	亠心
诈	言卜
谢	言寸
讹	言匕
讼	言厶
谆	言子
赣	立貝
竞	立儿
谱	言日
谬	言彡
盗	冫皿
酱	丬酉
阁	門口
痪	疒大
粪	米八
烂	火二
涝	氵力
濒	氵頁
溃	氵貝
滥	氵皿
鲨	氵魚
沧	氵巳
浏	氵刂
济	氵川
湾	氵弓
泻	氵一
寝	宀又
窜	穴中
窝	穴人
禄	礻水
骚	馬虫
书	㇕丶
堕	阝土
陨	阝貝
险	阝⺍
缰	絲田
缭	絲小
绒	絲大
缆	絲見
娇	女川
绞	絲乂
缔	絲巾
缕	絲女
缤	絲八
绎	絲工
缀	絲又
